,Date,Win Number,Win Type
0,2024-12-30,18,additional
1,2024-12-30,3,win
2,2024-12-30,10,win
3,2024-12-30,13,win
4,2024-12-30,29,win
5,2024-12-30,32,win
6,2024-12-30,46,win
0,2024-12-26,39,additional
1,2024-12-26,8,win
2,2024-12-26,21,win
3,2024-12-26,30,win
4,2024-12-26,35,win
5,2024-12-26,44,win
6,2024-12-26,49,win
7,2024-12-23,19,additional
8,2024-12-23,34,win
9,2024-12-23,40,win
10,2024-12-23,42,win
11,2024-12-23,44,win
12,2024-12-23,45,win
13,2024-12-23,46,win
14,2024-12-19,42,additional
15,2024-12-19,3,win
16,2024-12-19,9,win
17,2024-12-19,10,win
18,2024-12-19,20,win
19,2024-12-19,23,win
20,2024-12-19,32,win
21,2024-12-16,45,additional
22,2024-12-16,13,win
23,2024-12-16,19,win
24,2024-12-16,22,win
25,2024-12-16,26,win
26,2024-12-16,40,win
27,2024-12-16,49,win
28,2024-12-12,8,additional
29,2024-12-12,17,win
30,2024-12-12,18,win
31,2024-12-12,19,win
32,2024-12-12,31,win
33,2024-12-12,32,win
34,2024-12-12,33,win
35,2024-12-09,23,additional
36,2024-12-09,1,win
37,2024-12-09,4,win
38,2024-12-09,8,win
39,2024-12-09,10,win
40,2024-12-09,16,win
41,2024-12-09,46,win
42,2024-12-05,13,additional
43,2024-12-05,8,win
44,2024-12-05,14,win
45,2024-12-05,15,win
46,2024-12-05,20,win
47,2024-12-05,31,win
48,2024-12-05,49,win
49,2024-12-02,44,additional
50,2024-12-02,10,win
51,2024-12-02,11,win
52,2024-12-02,12,win
53,2024-12-02,21,win
54,2024-12-02,41,win
55,2024-12-02,49,win
56,2024-11-28,35,additional
57,2024-11-28,1,win
58,2024-11-28,2,win
59,2024-11-28,4,win
60,2024-11-28,15,win
61,2024-11-28,18,win
62,2024-11-28,24,win
63,2024-11-25,23,additional
64,2024-11-25,26,win
65,2024-11-25,28,win
66,2024-11-25,31,win
67,2024-11-25,38,win
68,2024-11-25,41,win
69,2024-11-25,42,win
70,2024-11-21,36,additional
71,2024-11-21,4,win
72,2024-11-21,7,win
73,2024-11-21,11,win
74,2024-11-21,14,win
75,2024-11-21,21,win
76,2024-11-21,28,win
77,2024-11-18,20,additional
78,2024-11-18,1,win
79,2024-11-18,2,win
80,2024-11-18,14,win
81,2024-11-18,36,win
82,2024-11-18,44,win
83,2024-11-18,46,win
84,2024-11-14,37,additional
85,2024-11-14,12,win
86,2024-11-14,16,win
87,2024-11-14,29,win
88,2024-11-14,36,win
