Date,Location,Ticket Type,Group
2024-12-26,Singapore Pools Bedok North Branch - Block 509 Bedok North Street 3 #01-129,1 QuickPick System 7 Entry,2
2024-12-26,Singapore Pools New Upper Changi Branch - Block 26 New Upper Changi Road #01-666/668,1 QuickPick System 7 Entry,2
2024-12-23,Cheng Tai Boon Beng - 150 Orchard Road #01-63 Orchard Plaza,1 QuickPick Ordinary Entry,1
2024-12-23,NTUC FairPrice AMK Hub - 53 Ang Mo Kio Avenue 3 #B2-40 AMK Hub,1 System 8 Entry,1
2024-12-23,Singapore Pools Account Betting Service - -,1 QuickPick System 7 Entry,2
2024-12-23,Singapore Pools Account Betting Service - -,1 QuickPick System 7 Entry,2
2024-12-23,Singapore Pools Account Betting Service - -,1 System 7 Entry,2
2024-12-19,Cheers Changi Village Road - Block 4 Changi Village Road #01-2074,1 System 7 Entry,2
2024-12-19,NTUC FairPrice Jurong Point - 63 Jurong West Central 3 #03-01 Jurong Point,1 System 7 Entry,2
2024-12-19,NTUC FairPrice The Woodleigh Mall - 11 Bidadari Park Drive #B1-32/33 The Woodleigh Mall,1 Ordinary Entry,2
2024-12-19,Singapore Pools Pasir Ris N2 Branch - 259 Pasir Ris Street 21 #02-29 Loyang Point,1 Ordinary Entry,2
2024-12-16,NTUC FairPrice Bukit Timah Plaza - 1 Jalan Anak Bukit #B1-01 Bukit Timah Plaza,1 QuickPick System 7 Entry,2
2024-12-16,Singapore Pools Account Betting Service - -,1 QuickPick System 7 Entry,2
2024-12-16,Cheers Northshore Plaza II - 418 Northshore Drive #02-05/06 Northshore Plaza II,1 System 7 Entry,2
2024-12-12,Livewire Singapore Pools - 210 Middle Road #01-01 Singapore Pools Building,1 System 7 Entry,1
2024-12-12,PFG Framing & Trading - Block 960 Jurong West Street 92 #01-182,1 System 7 Entry,1
2024-12-12,Singapore Pools Account Betting Service - -,1 System 7 Entry,1
2024-12-12,Singapore Pools Account Betting Service - -,2 Ordinary Entry,1
2024-12-12,Singapore Pools Yishun N1 Branch - Block 101 Yishun Avenue 5 #01-37,1 QuickPick System 7 Entry,2
2024-12-12,Singapore Pools Account Betting Service - -,1 QuickPick Ordinary Entry,2
2024-12-12,Singapore Pools Clementi N3 Branch - Block 325 Clementi Avenue 5 #01-145,1 QuickPick Ordinary Entry,2
2024-12-12,NTUC FairPrice Toa Payoh HDB Centre - 500 Lorong 6 Toa Payoh #B1-32/#01-33 HDB Centre,1 System Roll Entry,2
2024-12-12,Singapore Pools Woodlands N3 Branch - Block 305 Woodlands Street 31 #01-77,1 System 7 Entry,2
2024-12-12,NTUC FairPrice Eastpoint Mall - 3 Simei Street 6 #05-01 Eastpoint Mall,1 Ordinary Entry,2
2024-12-12,iTOTO - System 1,iTOTO - System 12,2
2024-12-09,7-Eleven Store Eunos Crescent - Block 1A Eunos Crescent #01-2469/2471,1 QuickPick Ordinary Entry,2
2024-12-09,Bukit Merah Betting Centre - Block 169 Jalan Bukit Merah #02-20/#03-20 Connection ONE Tower,1 QuickPick Ordinary Entry,2
2024-12-09,Cheers Harbourfront Centre - 1 Maritime Square #01-82 Harbourfront Centre,1 System 8 Entry,2
2024-12-09,Singapore Pools Jalan Tiga Branch - Block 43 Jalan Tiga #01-08,1 System 8 Entry,2
2024-12-09,Singapore Pools Woodlands N5 Branch - 548 Woodlands Drive 44 #02-04 Vista Point,1 System 8 Entry,2
